,alpha,beta,loss,x,y
649,-0.65,1.2,290.5640325683594,-31.38387680053711,53.725013732910156
650,-0.6,-1.25,14.856109569549561,-36.82591247558594,-95.16752624511719
651,-0.6,-1.2,16.401580487823487,-37.83375549316406,-93.0634765625
652,-0.6,-1.15,19.16627771911621,-38.850608825683594,-90.82521057128906
653,-0.6,-1.1,23.01907205810547,-39.87245559692383,-88.44627380371094
654,-0.6,-1.05,27.71392433013916,-40.894954681396484,-85.92079162597656
655,-0.6,-1.0,33.72086674194336,-41.912601470947266,-83.2432632446289
656,-0.6,-0.95,43.46308789367676,-42.919517517089844,-80.4095458984375
657,-0.6,-0.9,57.75117182617188,-43.90940856933594,-77.41561126708984
658,-0.6,-0.85,77.44741394042968,-44.87467956542969,-74.26045227050781
659,-0.6,-0.8,101.54536959228516,-45.807376861572266,-70.94308471679688
660,-0.6,-0.75,135.18606588134764,-46.69944381713867,-67.46551513671875
661,-0.6,-0.7,155.40825373535156,-47.541839599609375,-63.83176803588867
662,-0.6,-0.65,156.28145567626953,-48.325653076171875,-60.04833221435547
663,-0.6,-0.6,144.8504921508789,-49.041934967041016,-56.1240234375
664,-0.6,-0.55,106.61607186279296,-49.681922912597656,-52.07072448730469
665,-0.6,-0.5,69.18235477294922,-50.2374267578125,-47.90229797363281
666,-0.6,-0.45,39.65309278869629,-50.70075225830078,-43.635719299316406
667,-0.6,-0.4,19.00508142089844,-51.06581115722656,-39.28984451293945
668,-0.6,-0.35,7.043692128753662,-51.32679748535156,-34.885318756103516
669,-0.6,-0.3,4.070265029525757,-51.480812072753906,-30.44476318359375
670,-0.6,-0.25,3.236501882362366,-51.525203704833984,-25.991073608398438
671,-0.6,-0.2,3.135793765640259,-51.45973587036133,-21.547847747802734
672,-0.6,-0.15,3.1983723655700684,-51.285911560058594,-17.13819122314453
673,-0.6,-0.1,3.3658112922668457,-51.006675720214844,-12.784433364868164
674,-0.6,-0.05,3.841157087135315,-50.626739501953125,-8.507442474365234
675,-0.6,0.0,5.048956145477295,-50.151634216308594,-4.326240062713623
676,-0.6,0.05,7.1670555381774905,-49.588775634765625,-0.2575905919075012
677,-0.6,0.1,9.71445127029419,-48.94573211669922,3.6842041015625
678,-0.6,0.15,11.897659899139404,-48.231266021728516,7.487534523010254
679,-0.6,0.2,13.754729469299317,-47.45389938354492,11.143235206604004
680,-0.6,0.25,15.714302877807617,-46.62261962890625,14.644861221313477
681,-0.6,0.3,18.470759913635256,-45.74603271484375,17.988313674926758
682,-0.6,0.35,21.449006227111816,-44.83271789550781,21.171594619750977
683,-0.6,0.4,25.21174735107422,-43.89043426513672,24.194589614868164
684,-0.6,0.45,31.00648673553467,-42.926597595214844,27.05914306640625
