,communication_round,participant,loss,acc,norm
682,61.0,0.0,4.985367766429357,0.8970023059185243,114.50835418701172
683,61.0,1.0,8.849836909588502,0.8306122448979592,114.48294830322266
684,61.0,2.0,7.659656407540305,0.8552631578947368,114.47457885742188
685,61.0,3.0,5.7061880266183636,0.8746105919003115,114.36186218261719
686,61.0,4.0,7.189795869566102,0.8702290076335878,114.55522155761719
687,61.0,5.0,7.499247338785928,0.8710059171597633,114.49989318847656
688,61.0,6.0,4.41896766610697,0.8857142857142857,114.34676361083984
689,61.0,7.0,4.9874215866469305,0.8794223826714801,114.46573638916016
690,61.0,8.0,4.369190216069301,0.9030579050097592,114.18233489990234
691,61.0,9.0,6.733370859070686,0.8728813559322034,114.48617553710938
692,61,g,9.150796510878177,0.8334,114.53627014160156
693,62.0,0.0,5.388335647800763,0.8885472713297463,114.44599151611328
694,62.0,1.0,8.794443838936942,0.8346938775510204,114.47381591796875
695,62.0,2.0,6.673269461677193,0.875,114.44390106201172
696,62.0,3.0,6.696278078905147,0.8652647975077882,114.38861083984375
697,62.0,4.0,7.261963083543851,0.8664122137404581,114.5365982055664
698,62.0,5.0,7.076038613968347,0.8698224852071006,114.4659194946289
699,62.0,6.0,4.686760141572351,0.8918367346938776,114.37034606933594
700,62.0,7.0,5.099942491717287,0.8859205776173286,114.39437866210938
701,62.0,8.0,4.280099296074652,0.904359141184125,114.19338989257812
702,62.0,9.0,6.679984175216006,0.8686440677966102,114.44151306152344
703,62,g,8.86236616246988,0.8369,114.51949310302734
704,63.0,0.0,5.198160834169498,0.8808608762490392,114.42271423339844
705,63.0,1.0,8.88734536657528,0.8387755102040816,114.46690368652344
706,63.0,2.0,6.517060300760102,0.8728070175438597,114.4164047241211
707,63.0,3.0,5.328703004661571,0.8855140186915887,114.33525085449219
708,63.0,4.0,6.839358318853014,0.8664122137404581,114.5018539428711
709,63.0,5.0,7.049182054418078,0.8733727810650888,114.44822692871094
