,epoch5
803,-0.07374846
804,-0.033250898
805,0.07373244
806,-0.091465905
807,0.092981555
808,-0.015265197
809,0.050409943
810,-0.14500932
811,-0.15843958
812,-0.13289268
813,-0.008386371
814,-0.1586761
815,-0.026820553
816,-0.08384835
817,-0.14710887
818,-0.12307047
819,0.03865664
820,-0.026235478
821,-0.020671112
822,-0.13474368
823,-0.06125039
824,0.03946985
825,-0.038040675
826,-0.16380748
827,-0.042278152
828,0.0048912778
829,0.0778175
830,-0.09889735
831,-0.059552386
832,-0.15748227
833,-0.13393839
834,0.05214143
835,-0.06362418
836,-0.12860999
837,0.0063200695
838,-0.0013405661
839,0.0086278645
840,-0.122487515
841,-0.10883147
842,-0.08907156
843,-0.103142455
844,-0.055208754
845,-0.017830925
846,-0.079375364
847,0.027780399
848,0.04292456
849,0.07180818
850,0.031187229
851,0.07318864
852,0.079830736
853,-0.047804795
854,0.057687096
855,-0.093317546
856,0.07377013
857,0.057860937
858,-0.0062808
859,-0.11535094
860,0.046595838
861,-0.1285723
862,-0.08136374
863,0.04114309
864,0.0648092
865,-0.12237443
866,-0.011857466
867,-0.06831619
868,0.017950965
869,-0.14308394
870,-0.056316707
871,-0.01724812
872,0.09765016
873,0.16137269
874,0.0759698
875,-0.19934216
876,0.017867306
877,0.12166957
878,-0.21725845
879,0.056976244
880,0.04099042
881,0.15949985
882,0.138989
883,0.066018395
884,-0.14138266
885,0.07764622
886,0.06842837
887,-0.012917539
888,0.028802274
889,0.010636503
890,0.051580966
891,0.21218999
892,0.09038634
893,-0.076098725
894,0.17717057
895,0.2068463
896,-0.052716058
897,0.18242858
898,-0.1275225
899,0.09383113
900,0.072862
901,-0.11829008
902,-0.16796139
903,-0.18992913
904,-0.032750662
905,-0.19882141
906,0.052277908
907,0.07914621
908,0.08192246
909,0.15564013
910,0.30556512
911,-0.1595902
912,0.23701781
913,0.17163096
914,-0.29676268
915,-0.11276505
916,0.035386667
917,0.254066
918,0.06640403
919,-0.18113296
920,-0.1002305
921,-0.013926424
922,-0.0045433342
923,-0.06818899
924,0.17898402
925,-0.0066474625
926,0.055451866
927,-0.0038078986
928,-0.08668727
929,-0.16736762
930,0.12555388
931,0.16372955
932,-0.016885584
933,-0.038907867
934,-0.029889522
935,0.21626212
936,0.42533132
937,0.18788996
938,0.1621258
939,0.25897646
940,0.0074017146
941,0.022232186
942,0.1313484
943,-0.16750795
944,0.18964095
945,-0.020761363
946,-0.10576592
947,0.18144423
948,0.003824089
949,-0.38673088
950,0.03663994
951,0.2879979
952,0.034776017
953,-0.03158938
954,-0.15229525
955,-0.14724258
956,0.08518259
957,-0.18522988
958,-0.2460666
959,0.110303745
960,0.08132059
961,0.03695295
962,0.17299862
963,-0.08971025
964,-0.056345873
965,0.10448345
966,-0.04088629
967,-0.21997353
968,0.087801605
969,0.17719567
970,0.06621024
971,-0.07973506
972,0.07021122
973,0.13628896
974,-0.14769086
975,-0.069608785
976,-0.2848878
977,0.1493927
978,0.2342528
979,-0.027030341
980,0.096964106
981,-0.00017529637
982,-0.13891694
983,0.16029479
984,0.22883572
985,-0.04767324
986,-0.15462345
987,0.23164022
988,0.25153562
989,0.080255896
990,-0.17581923
991,0.03256808
992,0.10728759
993,-0.18957762
994,-0.4017012
995,0.09037696
996,0.44859377
997,0.08334188
998,-0.07163859
999,-0.09948911
1000,-0.2320704
1001,0.036435172
1002,-0.01511182
1003,-0.26303947
1004,0.09191164
1005,0.30969423
1006,0.32204035
1007,0.039919842
1008,-0.1262793
1009,0.121277474
1010,0.12799028
1011,-0.13159674
1012,-0.11627555
1013,0.2208186
1014,0.35442767
1015,-0.08536058
1016,-0.3098866
1017,-0.24269636
1018,-0.1745303
1019,-0.21330675
1020,-0.06855536
1021,-0.15349804
1022,0.008488423
1023,0.16184665
1024,0.32132897
1025,-0.20634075
1026,-0.17087242
1027,-0.2828848
1028,0.09681839
1029,-0.23036249
1030,-0.09633202
1031,0.09839169
1032,0.28322127
1033,0.23144418
1034,-0.17597963
1035,-0.09954551
1036,-0.17522445
1037,0.0027778123
1038,-0.110555954
1039,0.06888547
1040,-0.0028283373
1041,0.2451488
1042,0.24026597
1043,-0.19208285
1044,0.37985024
1045,0.27877313
1046,-0.28496775
1047,-0.42661735
1048,-0.5047516
1049,0.081335194
1050,0.082040004
1051,0.19898927
1052,-0.1780635
1053,-0.090628006
1054,-0.3348628
1055,-0.07084116
1056,0.11242414
1057,0.13074099
1058,-0.07944239
1059,0.17818356
1060,0.12697156
1061,-0.42254815
1062,-0.29979134
1063,-0.273711
1064,-0.0025196625
1065,-0.052461132
1066,0.08078967
1067,0.19050513
1068,0.29109266
1069,0.14285262
1070,-0.35904264
1071,-0.43804172
1072,-0.3702027
1073,0.020081623
1074,-0.08936738
1075,-0.016505547
1076,0.0029832213
1077,0.06602902
1078,0.1552559
1079,-0.19387946
1080,-0.1256914
1081,-0.006525078
1082,-0.29841954
1083,-0.2600807
1084,-0.21190499
1085,0.05903389
1086,0.24808419
1087,0.07168455
1088,0.05987115
1089,-0.14443874
1090,0.21065076
1091,-0.22362898
1092,-0.09793396
1093,0.1603985
1094,-0.35604587
1095,-0.054894447
1096,0.27137798
1097,-0.17802267
1098,0.023276985
1099,0.19971207
1100,-0.3237365
1101,0.052518547
1102,0.35338482
1103,-0.38932458
1104,-0.04740555
1105,0.131208
1106,-0.02830711
1107,-0.11766628
1108,0.09983451
1109,-0.10013084
1110,0.017503506
1111,0.31481144
1112,-0.34204578
1113,-0.036165472
1114,0.22528085
1115,0.0022705717
1116,-0.27644753
1117,-0.10047048
1118,-0.2507198
1119,-0.1908212
1120,0.07393777
1121,-0.30554846
1122,-0.17489183
1123,0.22431453
1124,0.103679545
1125,-0.1454837
1126,0.10379831
1127,0.12518334
1128,-0.30457202
1129,0.38344538
1130,0.055502705
1131,-0.16487741
1132,0.32756326
1133,-0.15216121
1134,-0.06418538
1135,0.26052237
1136,-0.35228053
1137,-0.031147372
1138,0.2802698
1139,-0.2998482
1140,0.0034541036
1141,0.13035531
1142,-0.09771084
1143,-0.12031494
1144,0.122611634
1145,-0.47764945
1146,-0.0996196
1147,0.25298762
1148,-0.22379863
1149,-0.21057174
1150,0.06167275
1151,-0.14066936
1152,0.08903694
1153,0.2647133
1154,-0.39450714
1155,0.22548054
1156,0.30929667
1157,-0.25884745
1158,0.14695045
1159,0.1679781
1160,-0.25570586
1161,-0.2050795
1162,0.20090461
1163,-0.019646931
1164,0.17469367
1165,0.108870246
1166,0.15242216
1167,0.22376852
1168,0.19841807
1169,-0.18397327
1170,0.07171428
1171,0.22748695
1172,0.08757185
1173,0.19238639
1174,0.21542455
1175,0.094438314
1176,0.30601704
1177,-0.022114554
1178,-0.15510222
1179,-0.0758026
1180,0.021209296
1181,0.024177684
1182,0.12072764
1183,0.23716746
1184,0.1312273
1185,0.18322845
1186,0.07913869
1187,-0.06680721
1188,-0.37355733
1189,-0.1922932
1190,-0.032096833
1191,-0.05353454
1192,0.039468892
1193,0.042337798
1194,0.21020065
1195,0.10723901
1196,0.0011234417
1197,-0.23755682
1198,-0.039718967
1199,0.0007509319
1200,-0.041522868
1201,0.16066559
1202,0.014654154
1203,-0.047096092
1204,0.022360276
1205,-0.07652241
1206,-0.0017248169
1207,0.22306067
1208,0.087127775
1209,0.2647995
1210,0.18991005
1211,0.21406566
1212,0.22671716
1213,-0.3127523
1214,-0.19630677
1215,0.04494806
1216,0.049755335
1217,0.12838827
1218,0.293035
1219,0.23314703
1220,0.19922695
1221,0.20074584
1222,-0.13115746
1223,-0.13424858
1224,0.13196993
1225,0.009564274
1226,0.060981177
1227,0.19686012
1228,-0.01541246
1229,0.20694226
1230,0.012520941
1231,-0.27777547
1232,0.15502167
1233,0.014310245
1234,0.08977823
1235,0.07242346
1236,-0.15038966
